#,Parent_ID,Screen_Function,Feature,Description,In_Charge,Status,Sprint,SRS,SDS,LOC,Code_Demo_Comments,Complexity,Quality
4,2,Admin / Doctor — Schedule,Shift / workday model,Link doctors to working hours and branch capacity.,TruongNTCE180140,To Do,3,SRS §,SDS §,70,Seed shifts visible in DB.,Medium,
5,2,Admin / Doctor — Schedule,Slot generation service,Generate non-overlapping slots from shifts; API for grid.,TruongNTCE180140,To Do,3,SRS §,SDS §,70,JSON grid for one week.,High,
6,2,Admin / Doctor — Schedule,Admin/Doctor slot calendar UI,Day/week grid; block invalid edits.,TruongNTCE180140,To Do,3,SRS §,SDS §,60,UI shows slot grid by day.,High,
13,5,Portal — Find doctor,Doctor search API,"Filters: name, specialty, branch; pagination.",TruongNTCE180140,To Do,3,SRS §,SDS §,35,curl/Postman sample queries.,Medium,
14,5,Portal — Find doctor,Symptom / keyword index,Regex or text index for hints; debounced suggest endpoint.,TruongNTCE180140,To Do,3,SRS §,SDS §,40,Typeahead demo.,Medium,
15,5,Portal — Find doctor,Patient portal search page,List + filters UI wired to API.,TruongNTCE180140,To Do,3,SRS §,SDS §,25,UI matches wireframe.,Standard,
43,15,Admin — Staff,Doctor profile API,CRUD; link department & specialties.,ThangNDCE180608,To Do,3,SRS §,SDS §,55,Create doctor via API.,Medium,
44,15,Admin — Staff,Department/specialty linkage,Many-to-many or refs as per ERD.,ThangNDCE180608,To Do,3,SRS §,SDS §,55,Filters use relations.,Medium,
45,15,Admin — Staff,Admin staff management UI,Table + modal forms.,ThangNDCE180608,To Do,3,SRS §,SDS §,50,CRUD demo video.,Medium,
52,18,Admin — Catalog,ICD collection + search,Index code + title; text search.,ThangNDCE180608,To Do,3,SRS §,SDS §,35,Search returns top 10.,Standard,
53,18,Admin — Catalog,CSV import script,Bulk load sample ICD rows.,ThangNDCE180608,To Do,3,SRS §,SDS §,40,Import sample CSV.,Standard,
54,18,Admin — Catalog,Diagnosis autocomplete UI,Doctor form uses search endpoint.,ThangNDCE180608,To Do,3,SRS §,SDS §,25,Pick code from list.,Standard,
55,19,Portal — Booking,Booking wizard state,Steps: department → doctor → slot.,ThangDQCE182036,To Do,3,SRS §,SDS §,80,State machine or query params.,High,
56,19,Portal — Booking,Slot selection + summary,Show price/deposit if any before confirm.,ThangDQCE182036,To Do,3,SRS §,SDS §,80,Summary step screenshot.,High,
57,19,Portal — Booking,Confirm booking API call,POST booking; handle errors.,ThangDQCE182036,To Do,3,SRS §,SDS §,60,Screen recording full flow.,High,
58,20,API Booking,Concurrency guard,Unique index or transaction on slot+doctor.,ThangDQCE182036,To Do,3,SRS §,SDS §,45,409 on double book.,High,
59,20,API Booking,Book API integration,Return clear error bodies.,ThangDQCE182036,To Do,3,SRS §,SDS §,40,Postman shows 409.,High,
60,20,API Booking,Parallel booking test,Two clients race for last seat.,ThangDQCE182036,To Do,3,SRS §,SDS §,35,Only one wins.,High,
61,21,Portal — Home,Featured blocks CMS or static,Services + doctors spotlight data.,ThangDQCE182036,To Do,3,SRS §,SDS §,45,Content visible on home.,Medium,
62,21,Portal — Home,Health news strip,Optional JSON or markdown list.,ThangDQCE182036,To Do,3,SRS §,SDS §,45,News cards render.,Medium,
63,21,Portal — Home,Responsive layout polish,Breakpoints; lazy images.,ThangDQCE182036,To Do,3,SRS §,SDS §,40,Mobile + desktop capture.,Medium,
70,24,Portal — Favorites,Favorites API,Add/remove doctor for patient.,ThangDQCE182036,To Do,3,SRS §,SDS §,45,List returns favorites.,Standard,
71,24,Portal — Favorites,Favorites page UI,Shortcuts to book again.,ThangDQCE182036,To Do,3,SRS §,SDS §,35,Add/remove favorite.,Standard,
84,29,Portal — Maps,Branch geo fields,lat/lng on clinic document.,KhoaNNCE181612,To Do,3,SRS §,SDS §,35,Map centers correctly.,Medium,
85,29,Portal — Maps,Maps embed component,Google/Mapbox embed + directions link.,KhoaNNCE181612,To Do,3,SRS §,SDS §,35,Directions open externally.,Medium,
86,29,Portal — Maps,Marker UX,Info window with hours/phone.,KhoaNNCE181612,To Do,3,SRS §,SDS §,30,One marker demo.,Medium,
