#,Parent_ID,Screen_Function,Feature,Description,In_Charge,Status,Sprint,SRS,SDS,LOC,Code_Demo_Comments,Complexity,Quality
7,3,Server — API architecture,Express structure,Routes/controllers/services layout; mount routers.,TruongNTCE180140,To Do,1,SRS §,SDS §,45,Folder tree matches SDS.,Medium,
8,3,Server — API architecture,Cross-cutting middleware,"CORS, request logging, centralized error wrapper stub.",TruongNTCE180140,To Do,1,SRS §,SDS §,45,Logs show request id.,Medium,
9,3,Server — API architecture,JWT middleware scaffold + /health,Optional verify hook; GET /health + Mongo ping.,TruongNTCE180140,To Do,1,SRS §,SDS §,30,Health returns 200 when DB up.,Medium,
49,17,Admin — Facilities,Clinic room model,Functional room types; equipment notes.,ThangNDCE180608,To Do,1,SRS §,SDS §,45,Rooms under branch.,Standard,
50,17,Admin — Facilities,Room REST API,List/create/update for admin.,ThangNDCE180608,To Do,1,SRS §,SDS §,40,Postman collection.,Standard,
51,17,Admin — Facilities,Admin room list UI,Simple list + optional floor diagram URL.,ThangNDCE180608,To Do,1,SRS §,SDS §,35,Room layout diagram.,Standard,
90,31,Server — Quality,Shared validators,Zod/Joi schemas colocated with routes.,Team,To Do,1,SRS §,SDS §,50,Reused across modules.,Medium,
91,31,Server — Quality,Wire validators on routers,Central registration pattern.,Team,To Do,1,SRS §,SDS §,55,Invalid body 400.,Medium,
92,31,Server — Quality,400 demo collection,Postman examples for team.,Team,To Do,1,SRS §,SDS §,45,Example 400 body.,Medium,
93,32,Server — Quality,Error code enum + DTO,Consistent JSON error shape.,Team,To Do,1,SRS §,SDS §,30,Docs in README.,Medium,
94,32,Server — Quality,Global error middleware,Map errors to status; hide stack in prod.,Team,To Do,1,SRS §,SDS §,30,Prod vs dev behavior.,Medium,
95,32,Server — Quality,Postman error examples,Saved responses for common codes.,Team,To Do,1,SRS §,SDS §,20,Error shape demo.,Standard,
96,33,DevOps,Seed script content,"Departments, rooms, sample users, ICD sample.",Team,To Do,1,SRS §,SDS §,35,DB populated after run.,Standard,
97,33,DevOps,npm run seed wiring,package.json script + idempotent upserts.,Team,To Do,1,SRS §,SDS §,25,Second run no dup errors.,Standard,
98,34,Docs,OpenAPI or endpoint table,All main routes listed.,Team,To Do,1,SRS §,SDS §,25,File committed under docs/.,Standard,
99,34,Docs,README link,Single link to contract from root README.,Team,To Do,1,SRS §,SDS §,15,Link works on GitHub.,Standard,
